Time,ZONE_5:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_5:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_5:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_5:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_6:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_6:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_6:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_6:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_7:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_7:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_7:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_7:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_8:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_8:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_8:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_8:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_9:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_9:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_9:TORONTO INT'L ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_9:TORONTO INT'L ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,4.275359E+03,9.255265E+02,2.206246E-01,7.141053E-02,3.148848E+03,3.364320E+02,1.624986E-01,2.595752E-02,1.898728E+03,1.771707E+02,9.798590E-02,1.366957E-02,3.144108E+03,2.677496E+02,1.622540E-01,2.065800E-02,1.895761E+03,2.573000E+02,9.783276E-02,1.985235E-02
00:20:00,4.275362E+03,9.087947E+02,2.206248E-01,7.011963E-02,3.148835E+03,3.279946E+02,1.624980E-01,2.530655E-02,1.898720E+03,1.727627E+02,9.798548E-02,1.332948E-02,3.144093E+03,2.593172E+02,1.622533E-01,2.000742E-02,1.895752E+03,2.523611E+02,9.783228E-02,1.947133E-02
00:30:00,4.275365E+03,8.914532E+02,2.206249E-01,6.878162E-02,3.148822E+03,3.190384E+02,1.624973E-01,2.461554E-02,1.898712E+03,1.680250E+02,9.798504E-02,1.296395E-02,3.144079E+03,2.504104E+02,1.622525E-01,1.932022E-02,1.895742E+03,2.470698E+02,9.783180E-02,1.906309E-02
00:40:00,4.275367E+03,8.736211E+02,2.206250E-01,6.740574E-02,3.148808E+03,3.096455E+02,1.624966E-01,2.389081E-02,1.898703E+03,1.630076E+02,9.798461E-02,1.257683E-02,3.144064E+03,2.411110E+02,1.622518E-01,1.860273E-02,1.895733E+03,2.413759E+02,9.783131E-02,1.862376E-02
00:50:00,4.275370E+03,8.553992E+02,2.206252E-01,6.599974E-02,3.148795E+03,2.998852E+02,1.624959E-01,2.313772E-02,1.898695E+03,1.577525E+02,9.798417E-02,1.217136E-02,3.144049E+03,2.314894E+02,1.622510E-01,1.786036E-02,1.895723E+03,2.351656E+02,9.783083E-02,1.814456E-02
01:00:00,4.275372E+03,8.368748E+02,2.206253E-01,6.457039E-02,3.148782E+03,2.898182E+02,1.624952E-01,2.236097E-02,1.898686E+03,1.522965E+02,9.798373E-02,1.175039E-02,3.144034E+03,2.216070E+02,1.622502E-01,1.709787E-02,1.895714E+03,2.285047E+02,9.783034E-02,1.763058E-02
01:10:00,4.275378E+03,8.194501E+02,2.206256E-01,6.322587E-02,3.148785E+03,2.800885E+02,1.624954E-01,2.161022E-02,1.898688E+03,1.470154E+02,9.798384E-02,1.134291E-02,3.144038E+03,2.120992E+02,1.622504E-01,1.636428E-02,1.895716E+03,2.219924E+02,9.783045E-02,1.712807E-02
01:20:00,4.275383E+03,8.019575E+02,2.206258E-01,6.187612E-02,3.148788E+03,2.702295E+02,1.624956E-01,2.084951E-02,1.898690E+03,1.416398E+02,9.798394E-02,1.092813E-02,3.144041E+03,2.025085E+02,1.622506E-01,1.562428E-02,1.895718E+03,2.153512E+02,9.783056E-02,1.661561E-02
01:30:00,4.275388E+03,7.844439E+02,2.206261E-01,6.052475E-02,3.148792E+03,2.602848E+02,1.624957E-01,2.008219E-02,1.898692E+03,1.361960E+02,9.798404E-02,1.050810E-02,3.144044E+03,1.928766E+02,1.622507E-01,1.488112E-02,1.895720E+03,2.086300E+02,9.783066E-02,1.609700E-02
01:40:00,4.275393E+03,7.669578E+02,2.206264E-01,5.917551E-02,3.148795E+03,2.502956E+02,1.624959E-01,1.931144E-02,1.898694E+03,1.307090E+02,9.798414E-02,1.008474E-02,3.144048E+03,1.832425E+02,1.622509E-01,1.413778E-02,1.895722E+03,2.018699E+02,9.783076E-02,1.557538E-02
